Fichier N1_011101_ORI_AR.test (langue : Arabic)
Arabe     Anglais   Francais  Allemand  
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.99      0.00      0.01      0.00
1.00      0.00      0.00      0.00
0.01      0.96      0.02      0.00
0.88      0.11      0.01      0.00
0.01      0.98      0.01      0.00
0.07      0.88      0.04      0.00
0.02      0.96      0.02      0.00
0.98      0.01      0.01      0.00
0.97      0.00      0.03      0.00
0.91      0.04      0.05      0.00
0.82      0.17      0.01      0.00
0.95      0.02      0.02      0.01
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.84      0.16      0.00      0.00
0.00      0.98      0.02      0.00
0.01      0.95      0.04      0.00
0.05      0.92      0.03      0.00
0.94      0.05      0.01      0.00
0.88      0.07      0.05      0.00
1.00      0.00      0.00      0.00
0.94      0.01      0.05      0.00
0.90      0.09      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.98      0.00      0.02      0.00
1.00      0.00      0.00      0.00
0.58      0.27      0.14      0.01
1.00      0.00      0.00      0.00
0.96      0.03      0.01      0.00
0.73      0.23      0.03      0.01
0.03      0.91      0.04      0.02
0.17      0.16      0.64      0.04
0.05      0.92      0.02      0.01
0.02      0.97      0.01      0.00
0.02      0.96      0.01      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.77      0.17      0.05      0.00
Fichier N1_011101_ORI_AR.test (langue : Arabic)
Moyenne :
0.69      0.27      0.03      0.00-------------------------------------------------------

Fichier N7_050403_ORI_AR.test (langue : Arabic)
Arabe     Anglais   Francais  Allemand  
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.73      0.24      0.03      0.00
0.99      0.00      0.01      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.43      0.00      0.03      0.54
0.01      0.98      0.01      0.00
0.01      0.96      0.02      0.00
0.90      0.09      0.00      0.00
0.03      0.95      0.02      0.00
0.22      0.67      0.11      0.00
0.08      0.00      0.92      0.00
1.00      0.00      0.00      0.00
0.98      0.00      0.02      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
Fichier N7_050403_ORI_AR.test (langue : Arabic)
Moyenne :
0.70      0.20      0.06      0.03-------------------------------------------------------

Fichier N7_050403_ORI_AR.test2 (langue : Arabic)
Arabe     Anglais   Francais  Allemand  
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.38      0.07      0.55      0.01
0.77      0.05      0.09      0.08
0.72      0.27      0.01      0.00
0.34      0.63      0.03      0.00
0.13      0.81      0.06      0.00
0.41      0.43      0.13      0.03
0.06      0.91      0.02      0.01
0.10      0.87      0.03      0.00
0.00      0.99      0.01      0.00
0.99      0.00      0.01      0.00
1.00      0.00      0.00      0.00
0.32      0.52      0.16      0.00
0.95      0.00      0.05      0.00
1.00      0.00      0.00      0.00
0.88      0.00      0.12      0.00
0.91      0.00      0.09      0.00
1.00      0.00      0.00      0.00
1.00      0.00      0.00      0.00
0.96      0.00      0.03      0.01
1.00      0.00      0.00      0.00
0.99      0.00      0.01      0.00
1.00      0.00      0.00      0.00
0.98      0.01      0.01      0.00
0.99      0.00      0.00      0.00
0.99      0.00      0.01      0.00
Fichier N7_050403_ORI_AR.test2 (langue : Arabic)
Moyenne :
0.75      0.19      0.05      0.01-------------------------------------------------------

Fichier N1_011101_ORI_AR.test2 (langue : Arabic)
Arabe     Anglais   Francais  Allemand  
0.00      0.00      0.00      1.00
0.17      0.33      0.40      0.10
0.03      0.00      0.95      0.02
1.00      0.00      0.00      0.00
0.99      0.00      0.00      0.01
0.00      0.98      0.01      0.01
0.00      0.00      0.01      0.99
0.82      0.00      0.00      0.18
1.00      0.00      0.00      0.00
0.00      0.00      0.03      0.97
0.49      0.49      0.01      0.02
0.00      0.98      0.00      0.01
0.00      0.78      0.15      0.07
0.00      0.94      0.02      0.03
0.38      0.01      0.00      0.61
0.01      0.99      0.00      0.00
0.00      0.99      0.00      0.01
0.78      0.18      0.01      0.02
0.00      0.00      0.00      1.00
0.00      0.00      0.00      1.00
0.00      0.69      0.00      0.31
0.00      1.00      0.00      0.00
0.00      0.97      0.02      0.00
0.98      0.00      0.00      0.02
Fichier N1_011101_ORI_AR.test2 (langue : Arabic)
Moyenne :
0.28      0.39      0.07      0.27-------------------------------------------------------

Fichier sx110 (langue : English)
Arabe     Anglais   Francais  Allemand  
0.00      1.00      0.00      0.00
0.00      0.00      0.04      0.96
0.00      0.00      0.60      0.40
0.00      0.46      0.38      0.16
0.00      0.00      1.00      0.00
0.00      0.52      0.46      0.02
0.00      0.13      0.00      0.87
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      0.42      0.53      0.05
0.01      0.20      0.78      0.01
0.00      0.01      0.00      0.99
0.00      0.44      0.30      0.26
0.00      0.00      0.01      0.99
0.00      0.77      0.01      0.22
0.00      0.80      0.00      0.20
0.00      0.98      0.00      0.01
0.00      0.00      0.00      1.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      0.89      0.00      0.11
0.00      0.33      0.00      0.67
0.00      0.00      0.00      1.00
0.00      0.00      0.00      1.00
0.00      1.00      0.00      0.00
Fichier sx110 (langue : English)
Moyenne :
0.00      0.50      0.16      0.34-------------------------------------------------------

Fichier sx20 (langue : English)
Arabe     Anglais   Francais  Allemand  
0.00      1.00      0.00      0.00
0.00      0.00      0.98      0.02
0.00      0.01      0.71      0.29
0.00      0.01      0.94      0.05
0.01      0.95      0.04      0.00
0.02      0.97      0.00      0.00
1.00      0.00      0.00      0.00
0.97      0.03      0.00      0.00
0.03      0.87      0.08      0.02
0.00      1.00      0.00      0.00
0.00      0.00      0.87      0.13
0.00      0.00      1.00      0.00
0.00      0.54      0.42      0.04
0.00      0.00      0.66      0.34
0.00      0.00      0.51      0.49
0.00      0.95      0.03      0.02
0.26      0.03      0.71      0.00
0.04      0.79      0.15      0.01
0.40      0.12      0.38      0.10
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      0.00      0.02      0.98
0.00      0.00      0.00      1.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
Fichier sx20 (langue : English)
Moyenne :
0.08      0.58      0.23      0.11-------------------------------------------------------

Fichier sx385 (langue : English)
Arabe     Anglais   Francais  Allemand  
0.00      0.29      0.02      0.70
0.00      0.96      0.00      0.04
0.00      0.07      0.92      0.02
0.00      0.05      0.21      0.74
0.00      0.99      0.00      0.00
0.00      0.88      0.00      0.12
0.00      0.00      0.76      0.24
0.00      1.00      0.00      0.00
0.00      0.99      0.00      0.01
0.00      0.97      0.00      0.03
0.00      0.85      0.13      0.01
0.00      0.00      1.00      0.00
0.08      0.00      0.92      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
0.00      1.00      0.00      0.00
Fichier sx385 (langue : English)
Moyenne :
